userName,score,at,content,bahasa,gaya_bahasa,topik_komentar
Ramli Abjul,5,2026-05-05 00:48:36,Terbaik,id,Indonesia Umum,Pujian
Neng Yunita,5,2026-05-04 22:30:20,aplikasinya sangat bagus membantu sekali untuk pengecekan sertifikat kepemilikan tanah/bangunan,id,Gaul,Pujian
eka saputra,5,2026-05-04 13:31:32,semoga semakin sempurna,id,Gaul,Lainnya
Kartini Kartini,5,2026-05-04 12:43:27,Sangat baik dan membantu memudahkan pengecekan surat tanah,id,Gaul,Pujian
Aku Gocar,5,2026-05-04 12:17:25,sangat membantu,id,Gaul,Pujian
Pirgong Siregar,5,2026-05-04 11:21:22,Sangat bermanfaat,id,Gaul,Lainnya
Yoan Dermawan,5,2026-05-04 09:47:52,lebih baik jika sekalian muncul tagihan pajaknya,id,Indonesia Umum,Pujian
Abdul Ghofur,5,2026-05-04 09:01:43,Terimakasih terbantu dalam mancari lokasi,id,Indonesia Umum,Lainnya
Ame Arifiati,5,2026-05-04 07:22:12,good pengalaman,tl,Inggris,Lainnya
TrustPlus Indonesia,5,2026-05-04 05:20:49,akurasi dan user friendly.,id,Indonesia Umum,Lainnya
chairan noorrizq,5,2026-05-04 03:22:33,bagus,tl,Indonesia Umum,Pujian
Moh Kais Rizqon,5,2026-05-03 21:58:01,sangat membantu,id,Gaul,Pujian
asdi,5,2026-05-03 16:33:28,Aplikasi yang sangat membantu utk mengetahui proses berkas kita,id,Gaul,Pujian
Dedy Hukom,5,2026-05-03 14:02:03,👍👍👍,unknown,Indonesia Umum,Lainnya
Heni Kurniawati,5,2026-05-03 11:10:01,Cepat dlm penyelesaian nya,id,Indonesia Umum,Lainnya
Muhafid,2,2026-05-03 06:22:24,buat login akun ngga bisa padahal udah benar nama email dan password nya Tapi tetap ngga bisa katanya username atau password salah atau akun belum terdaftar padahal udah terdaftar tapi tetap ngga bisa login,id,Gaul,Login/Akun
SYARIF HIDAYATULLAH,5,2026-05-03 00:02:08,sangat bermanfaat,id,Gaul,Lainnya
mulyono mulyono,5,2026-05-02 23:22:41,"sangat berguna sekali, mantap",id,Gaul,Pujian
Kathy Kat,1,2026-05-02 11:56:34,Login akses tiba2 tidak terdaftar. Bagaimana solusinya? sebelumnya saya bisa akses dari hp.,id,Gaul,Login/Akun
adi chadeck Jujur Jasa penyedia property Bali,5,2026-05-02 08:24:40,helfpull,en,Indonesia Umum,Lainnya
4bie Yatsa,5,2026-05-02 06:37:02,"sangat memudahkan untuk mengecek lokasi secara realtime, terukur dan tepat",id,Gaul,Lainnya
Julianus L.A Koten Official,5,2026-05-02 06:36:00,Mantap sangat membantu.,id,Gaul,Pujian
agus rosyana,3,2026-05-02 06:09:34,"ini aplikasi susah mau log in, salah terus username, password, padahal sudah bener, tolonglah perbaiki aplikasi ini",id,Indonesia Umum,Login/Akun
Chaerudin,5,2026-05-02 05:36:56,great,ro,Indonesia Umum,Lainnya
ABD GAFUR KAU,5,2026-05-02 02:10:17,Terbantu,id,Indonesia Umum,Lainnya
Bima Al Hafiz,5,2026-05-02 01:56:41,terimakasih sangat membantu👍👍👍👍,id,Gaul,Pujian
Abdillah,4,2026-05-02 00:51:45,Semoga memberikan solusi pada setiap permasalahan pertanahan di tanah air,id,Gaul,Lainnya
Muhammad Tony,5,2026-05-01 19:17:01,sangat membantu,id,Gaul,Pujian
Dastam,5,2026-05-01 15:13:44,lumayan membantu untuk mengecek sertipikat elektronik,id,Indonesia Umum,Pujian
Marwati,5,2026-05-01 12:34:20,sangat bagus,tl,Gaul,Pujian
Suhar Wanda,5,2026-05-01 12:34:07,bagus dan sangat membantu,id,Gaul,Pujian
Rohiman Q,5,2026-05-01 10:48:46,Sangat membantu,id,Gaul,Pujian
Gans Alfatih,5,2026-05-01 09:52:50,"aplikasi yg bisa memantau perjalanan surat ,aplikasi ini sangat berguna",id,Gaul,Lainnya
Daud Majid,5,2026-05-01 07:06:54,sangat membantu dan memudahkan soal urusan rumah dan tanah .,id,Sunda,Pujian
Devi Marlinda,5,2026-05-01 06:21:19,kemudahan informasi,id,Indonesia Umum,Lainnya
Ketut Karuna,1,2026-05-01 04:54:40,"kualitas aplikasi menggambarkan kualitas pemerintahan indonesia, mncoba daftar ratusan kali tidak bisa",id,Gaul,Error/Bug
Thole,5,2026-05-01 01:17:31,sangat bermanfaat dan membantu,id,Gaul,Pujian
marissa yovita,5,2026-04-30 14:42:55,good job,so,Inggris,Lainnya
AXL 1205ES,5,2026-04-30 13:56:28,"aplikasi yang sangat berguna,👍🏼",id,Gaul,Lainnya
Andri Aritama,5,2026-04-30 12:29:33,Keren nih aplikasi... Bisa lihat status kepemilikan tanah dan sertifikat tanah.. sangat membantu sekali.,id,Gaul,Pujian
cuah mks,5,2026-04-30 12:15:02,mantap,tl,Gaul,Pujian
Sutikno Sutikno,5,2026-04-30 09:17:58,good job team,sl,Inggris,Lainnya
AndangjiroTv,5,2026-04-30 08:20:36,"Alhamdulillah, Terimakasih respon cepatnya Sertifikat saya sudah sesuai baik pada aplikasi Sentuh Tanahku dan pada laman BHUMI, Bintang 5",id,Indonesia Umum,Pujian
Razor Hyuga,1,2026-04-30 04:27:14,"capek udah daftar udah dpt email verifikasi dan terverifikasi giliran login belum terdaftar, mau heran tapi ini Indonesia",id,Indonesia Umum,Login/Akun
Dedi Mulyadi,5,2026-04-30 02:52:20,bagus dapat mempermudah pelacakan berkas,id,Jawa,Pujian
Ilyas Ssos,5,2026-04-30 01:42:53,baguss,id,Indonesia Umum,Pujian
stefanus hariyanto,5,2026-04-30 01:09:19,sangat membantu,id,Gaul,Pujian
Pecinta Alam,5,2026-04-29 23:52:29,sangat bermanfaat,id,Gaul,Lainnya
Bang Ujang,4,2026-04-29 23:22:42,membantu,id,Indonesia Umum,Pujian
Aris Sikac,5,2026-04-29 23:13:32,sangat bermanfaat dn memudahkan,id,Gaul,Lainnya
Agus wakid romadlon,5,2026-04-29 22:39:59,"Sentuh tanahku, makin mantab, Selamat Sentuh Tananhku makin terdepan",id,Indonesia Umum,Lainnya
Amiruddin Amir,5,2026-04-29 21:36:58,puas dengan aplikasi ini sangat memudahkan,id,Gaul,Lainnya
Azzam endut,5,2026-04-29 15:56:26,sangat membantu..,id,Gaul,Pujian
A Puad,5,2026-04-29 14:18:03,bagus memudahkan pengecekan pertanahan,id,Indonesia Umum,Pujian
m. kasim,5,2026-04-29 13:00:38,mempermudah masyarakat,id,Indonesia Umum,Lainnya
Ruaida Malewa,5,2026-04-29 09:50:46,mantuuuul,fi,Indonesia Umum,Lainnya
Devan Dirgantara,4,2026-04-29 07:59:50,aplikasi bagus sayang pelayanan di lapangan sangat lambat apa mungkin harus pake sogokan ya,tl,Gaul,Pujian
Dian Herdiana,5,2026-04-29 07:40:15,mantap lah,id,Gaul,Pujian
Agus Ropiq,5,2026-04-29 07:31:26,jadi mudah cek berkas,id,Indonesia Umum,Lainnya
Agyt Eko setia m,5,2026-04-29 07:19:14,bagua,id,Indonesia Umum,Lainnya
Eron Kristriaji,5,2026-04-29 05:18:19,aplikasi sangat membantu. Terima kasih,id,Gaul,Pujian
ZULKARNAIN,5,2026-04-29 03:36:49,Tolong saya lupa sandi mau reset tapi kode OTP gak ada masuk ni di email saya edit : Saya coba lagi besokannya bisa masuk OTPnya sekarang sudah bisa login lagi,id,Gaul,Login/Akun
M zainudin Grip,5,2026-04-29 03:16:47,sangat mudah dlm proses antrean ataupun cara pengisian data,id,Gaul,Lainnya
Kurniawan Dwi prasetiyo,5,2026-04-29 02:17:56,sangat membantu dan mempermudah,id,Gaul,Pujian
yosep celeh,2,2026-04-29 01:33:32,tak sesuai ekpetasi,id,Indonesia Umum,Lainnya
Aang Priyatna,5,2026-04-29 01:06:02,bermanfaat,id,Indonesia Umum,Lainnya
Nanda Pradana,5,2026-04-28 23:29:20,aplikasi yang sangat membantu,id,Gaul,Pujian
Hasyim Adnan,5,2026-04-28 13:37:10,"sanagat bermanfaat bagi daerah yang sudah update, masih ad beberapa daerah yang masih belum update",id,Gaul,Lainnya
Arie Juwariyah,5,2026-04-28 12:44:16,Alhamdulillah byk dimudahkan terimakasih BPN,id,Indonesia Umum,Lainnya
Akbar Ksatria,1,2026-04-28 11:29:44,"di update malah ngaco ni app, mau antri masa harus ngisi data terus",id,Gaul,Lainnya
Bambang Mistoyo,5,2026-04-28 09:06:56,okey,sk,Indonesia Umum,Lainnya
sinta,5,2026-04-28 08:50:52,"baru ini aplikasi pemerintahan keren bgt 🩷. Dibanding aplikasi pemerintahan lainnya, tau sendiri lah gimana😔",id,Gaul,Lainnya
Teuku Daut,5,2026-04-28 08:09:39,sangat membatu kami sebagai pendataan tana di desa kami,id,Gaul,Lainnya
